,0
MTHFR2,-37.56913840250467
DUTPDP,-48.32663238680731
NTP5,-32.59931843841976
FORt2pp,-5.280206368901467
GLNS,-17.847014319726842
ACGS,-27.83273637282598
SUCOAS,-1.6698556082025076
PRAIS,11.249864333663435
HISTP,-23.006161313778012
LDH_D,17.681782395873828
KAS15,20.667801865213757
T2DECAI,-1.3387607395998202e-06
3OAS161,12.114701851345982
DHQS,-151.0065016876821
EAR161x,-53.308359602202195
EAR161y,-53.62138053824791
PGCD,27.638081438589612
MALtex,0.1931851673308529
3OAS141,12.123169186706688
3OAR121,-13.036748836688986
ADSL1r,17.020170977781316
AICART,15.170406753073825
D_LACt2pp,-5.282731506024106
RIBtex,-4.2118857322748227e-05
FRUpts2pp,-43.165646275552454
FORtex,0.09653864800542777
PFK,-21.71169198484767
PGM,-4.268543481886387
CYTBO3_4pp,-79.20653583266511
EAR141x,-53.30908206982253
EAR141y,-53.622103005868475
EAR181x,-53.30835960220197
EAR181y,-53.62138053824791
TPI,5.663862916888344
RPI,4.488156758194553
3OAR120,-13.018820444724298
3HAD80,-0.4346375044872603
3HAD120,-0.43463750448745925
EAR180x,-53.30835960220106
AKGtex,0.192971832660362
SO4t2pp,2.919221339233316
EAR180y,-53.621380538247
ACONTb,-1.368810859491621
3HAD161,-0.4346375044870329
SUCDi,-73.62717904243297
ASNS1,-46.38531209686809
EAR80y,-53.62138053824791
EAR120y,-53.62138053824791
3OAR181,-13.01882044472498
3HAD121,-0.4345712491837945
EAR140x,-53.30835960220265
3OAS181,12.113327404497197
3OAS140,12.113327404497538
3OAR140,-13.018820444724753
EAR160y,-53.62138053824655
3OAR160,-13.01882044472407
3HAD181,-0.4346375044870045
EAR100y,-53.62138053824723
3OAR141,-13.0305088642979
3OAR161,-13.018820444725208
3HAD141,-0.43410918752033906
EAR121x,-53.30833106871177
EAR121y,-53.62135200475772
ACONTa,9.240938485578525
3HAD40,-0.4347763074842747
3OAS60,12.11269968641872
3OAS160,12.113327404496173
3OAR60,-13.019158234250227
3OAR80,-13.018820444724753
EAR100x,-53.308359602201286
EAR120x,-53.30835960220197
EAR160x,-53.30835960220083
EAR140y,-53.62138053824882
3OAS121,12.1305130734614
3OAS80,12.11764097091847
3OAS100,12.113327404496742
3OAS120,12.113327404496173
3OAR40,-13.027146560479451
3OAR100,-13.01882044472407
3HAD60,-0.4349906296440666
3HAD100,-0.43463750448768657
3HAD140,-0.43463750448654975
3HAD160,-0.4346375044879424
EAR40x,-53.30912713021298
EAR60y,-53.62229093029217
EAR60x,-53.309269994246456
EAR80x,-53.30835960220197
3OAR180,-13.018820444726344
3OAS180,12.11332740449731
3HAD180,-0.4346375044861234
NADH16pp,-88.44112010291883
NADH17pp,19.30224089974903
VPAMTr,-1.5950389968867456
PIt2rpp,3.2519063843756015
PItpp,-16.735198258712707
SUCCt1pp,-16.430338115174266
